t_begin,power_schedule[W]
2016-09-01 00:00:00,0.0
2016-09-01 00:01:00,-177.16395051577106
2016-09-01 00:02:00,-149.79033944158016
2016-09-01 00:03:00,-543.3406097087562
2016-09-01 00:04:00,-237.0460958879931
2016-09-01 00:05:00,-344.89355722729795
2016-09-01 00:06:00,-248.8351019587513
2016-09-01 00:07:00,-383.2970498299189
2016-09-01 00:08:00,-679.9111700619843
2016-09-01 00:09:00,-805.9128485041848
2016-09-01 00:10:00,-666.4993436060475
2016-09-01 00:11:00,-578.9158905013871
2016-09-01 00:12:00,-609.937402130484
2016-09-01 00:13:00,-592.7000758920123
2016-09-01 00:14:00,-556.1083892418966
2016-09-01 00:15:00,-421.03405704843374
2016-09-01 00:16:00,-767.5225732869638
2016-09-01 00:17:00,-723.8800041133072
2016-09-01 00:18:00,-798.9402038490417
2016-09-01 00:19:00,-858.7847814281412
2016-09-01 00:20:00,-1005.55283441063
2016-09-01 00:21:00,-1069.5483301659956
2016-09-01 00:22:00,-1212.7627628085525
2016-09-01 00:23:00,-1144.6752444733552
2016-09-01 00:24:00,-1014.41690359267
2016-09-01 00:25:00,-1043.3638299989643
2016-09-01 00:26:00,-886.0431175893626
2016-09-01 00:27:00,-807.8251779054633
2016-09-01 00:28:00,-877.023197680897
2016-09-01 00:29:00,-943.7107613939262
2016-09-01 00:30:00,-976.7326897574993
2016-09-01 00:31:00,-940.4517919623908
2016-09-01 00:32:00,-816.1839654801837
2016-09-01 00:33:00,-805.3449836972757
2016-09-01 00:34:00,-901.7823983350496
2016-09-01 00:35:00,-955.0508629336985
2016-09-01 00:36:00,-1322.0206239501135
2016-09-01 00:37:00,-1727.1144993807736
2016-09-01 00:38:00,-1717.8467396084861
2016-09-01 00:39:00,-1452.917829469728
2016-09-01 00:40:00,-1289.216280963933
2016-09-01 00:41:00,-1155.731606726907
2016-09-01 00:42:00,-1246.1971288376835
2016-09-01 00:43:00,-1379.7032815015698
2016-09-01 00:44:00,-1297.777106262906
2016-09-01 00:45:00,-1308.888537497177
2016-09-01 00:46:00,-1240.5871377343997
2016-09-01 00:47:00,-1368.9310367969929
2016-09-01 00:48:00,-1267.3434356150062
2016-09-01 00:49:00,-1255.4082876308348
2016-09-01 00:50:00,-1255.9232409911915
2016-09-01 00:51:00,-1489.0062662655182
2016-09-01 00:52:00,-1253.2378224054091
2016-09-01 00:53:00,-1382.5935889849736
2016-09-01 00:54:00,-1496.0221523207854
2016-09-01 00:55:00,-1609.7559118883123
2016-09-01 00:56:00,-1773.205615775557
2016-09-01 00:57:00,-1815.8399202415733
2016-09-01 00:58:00,-1700.787279059257
2016-09-01 00:59:00,-1642.370735522394
2016-09-01 01:00:00,-1499.2693067271207
2016-09-01 01:01:00,-1476.675834174393
2016-09-01 01:02:00,-1509.5789320064484
2016-09-01 01:03:00,-1390.187786847421
2016-09-01 01:04:00,-1553.4784507593872
2016-09-01 01:05:00,-1708.466601936688
2016-09-01 01:06:00,-1707.2264235461369
2016-09-01 01:07:00,-1595.7532411192287
2016-09-01 01:08:00,-1637.6255668716278
2016-09-01 01:09:00,-1438.5013510229846
2016-09-01 01:10:00,-1365.926228441121
2016-09-01 01:11:00,-1553.3988889011825
2016-09-01 01:12:00,-1617.6858106429452
2016-09-01 01:13:00,-1792.935297963934
2016-09-01 01:14:00,-1826.7855534362875
2016-09-01 01:15:00,-1656.2001019623144
2016-09-01 01:16:00,-1443.6802845570587
2016-09-01 01:17:00,-1385.345246292133
2016-09-01 01:18:00,-1296.660631900095
2016-09-01 01:19:00,-1357.5075385042849
2016-09-01 01:20:00,-1481.9685297426875
2016-09-01 01:21:00,-1587.8185219491056
2016-09-01 01:22:00,-1552.0552829345554
2016-09-01 01:23:00,-1218.2114647557885
2016-09-01 01:24:00,-1214.3982951066666
2016-09-01 01:25:00,-1222.83051359059
2016-09-01 01:26:00,-1002.6008780594524
2016-09-01 01:27:00,-1059.012277230486
2016-09-01 01:28:00,-1223.650141977064
2016-09-01 01:29:00,-1125.4279868687154
2016-09-01 01:30:00,-846.0196857891392
2016-09-01 01:31:00,-848.9262602945396
2016-09-01 01:32:00,-774.4858244556698
2016-09-01 01:33:00,-772.6658909887323
2016-09-01 01:34:00,-708.4116909202193
2016-09-01 01:35:00,-762.3652494612801
2016-09-01 01:36:00,-653.5672834568668
2016-09-01 01:37:00,-771.2737273941777
2016-09-01 01:38:00,-1076.7655118251234
2016-09-01 01:39:00,-1231.0969636478653
2016-09-01 01:40:00,-1215.664558415419
2016-09-01 01:41:00,-1230.6507015715667
2016-09-01 01:42:00,-1348.5811036932691
2016-09-01 01:43:00,-1319.8549521358416
2016-09-01 01:44:00,-1465.1696888543152
2016-09-01 01:45:00,-1283.1346948258324
2016-09-01 01:46:00,-1203.9505761036146
2016-09-01 01:47:00,-1246.8488127550268
2016-09-01 01:48:00,-1005.1484677945103
2016-09-01 01:49:00,-1161.8134410608736
2016-09-01 01:50:00,-1042.7022951329398
2016-09-01 01:51:00,-1082.4059011124186
2016-09-01 01:52:00,-1062.1272908641963
2016-09-01 01:53:00,-1097.7426292780262
2016-09-01 01:54:00,-1102.446422243087
2016-09-01 01:55:00,-824.380844211831
2016-09-01 01:56:00,-543.6776782626205
2016-09-01 01:57:00,-204.00564741860939
2016-09-01 01:58:00,0.0
2016-09-01 01:59:00,-28.262789862609612
2016-09-01 02:00:00,-174.5669869157079
2016-09-01 02:01:00,-178.84462844369253
2016-09-01 02:02:00,-100.26678585981414
2016-09-01 02:03:00,-30.81799418534831
2016-09-01 02:04:00,-96.82999604493143
2016-09-01 02:05:00,-15.661673404960089
2016-09-01 02:06:00,-216.81936105360157
2016-09-01 02:07:00,-415.5997066625184
2016-09-01 02:08:00,-421.3846239717399
2016-09-01 02:09:00,-507.1458161497551
2016-09-01 02:10:00,-485.8676099258745
2016-09-01 02:11:00,-223.36599265662227
2016-09-01 02:12:00,-451.6835258250123
2016-09-01 02:13:00,-60.15731088464138
2016-09-01 02:14:00,-13.463837193497268
2016-09-01 02:15:00,0.0
2016-09-01 02:16:00,0.0
2016-09-01 02:17:00,0.0
2016-09-01 02:18:00,0.0
2016-09-01 02:19:00,0.0
2016-09-01 02:20:00,0.0
2016-09-01 02:21:00,0.0
2016-09-01 02:22:00,0.0
2016-09-01 02:23:00,0.0
2016-09-01 02:24:00,0.0
2016-09-01 02:25:00,0.0
2016-09-01 02:26:00,0.0
2016-09-01 02:27:00,-181.79773104317917
2016-09-01 02:28:00,-322.77714103470015
2016-09-01 02:29:00,-280.02915967843603
2016-09-01 02:30:00,-207.61369610625897
2016-09-01 02:31:00,-86.74850162107546
2016-09-01 02:32:00,0.0
2016-09-01 02:33:00,0.0
2016-09-01 02:34:00,-75.78841211071676
2016-09-01 02:35:00,-206.1112769602654
2016-09-01 02:36:00,-41.13164873088849
2016-09-01 02:37:00,0.0
2016-09-01 02:38:00,-143.36750998693682
2016-09-01 02:39:00,0.0
2016-09-01 02:40:00,0.0
2016-09-01 02:41:00,0.0
2016-09-01 02:42:00,0.0
2016-09-01 02:43:00,0.0
2016-09-01 02:44:00,0.0
2016-09-01 02:45:00,0.0
2016-09-01 02:46:00,0.0
2016-09-01 02:47:00,0.0
2016-09-01 02:48:00,0.0
2016-09-01 02:49:00,0.0
2016-09-01 02:50:00,0.0
2016-09-01 02:51:00,0.0
2016-09-01 02:52:00,0.0
2016-09-01 02:53:00,0.0
2016-09-01 02:54:00,0.0
2016-09-01 02:55:00,0.0
2016-09-01 02:56:00,0.0
2016-09-01 02:57:00,0.0
2016-09-01 02:58:00,0.0
2016-09-01 02:59:00,0.0
2016-09-01 03:00:00,0.0
2016-09-01 03:01:00,0.0
2016-09-01 03:02:00,0.0
2016-09-01 03:03:00,0.0
2016-09-01 03:04:00,0.0
2016-09-01 03:05:00,0.0
2016-09-01 03:06:00,0.0
2016-09-01 03:07:00,0.0
2016-09-01 03:08:00,0.0
2016-09-01 03:09:00,0.0
2016-09-01 03:10:00,0.0
2016-09-01 03:11:00,0.0
2016-09-01 03:12:00,0.0
2016-09-01 03:13:00,0.0
2016-09-01 03:14:00,0.0
2016-09-01 03:15:00,0.0
2016-09-01 03:16:00,0.0
2016-09-01 03:17:00,0.0
2016-09-01 03:18:00,0.0
2016-09-01 03:19:00,0.0
2016-09-01 03:20:00,0.0
2016-09-01 03:21:00,0.0
2016-09-01 03:22:00,0.0
2016-09-01 03:23:00,0.0
2016-09-01 03:24:00,0.0
2016-09-01 03:25:00,0.0
2016-09-01 03:26:00,0.0
2016-09-01 03:27:00,0.0
2016-09-01 03:28:00,0.0
2016-09-01 03:29:00,0.0
2016-09-01 03:30:00,0.0
2016-09-01 03:31:00,0.0
2016-09-01 03:32:00,0.0
2016-09-01 03:33:00,0.0
2016-09-01 03:34:00,-17.218848074125052
2016-09-01 03:35:00,-268.6821039162871
2016-09-01 03:36:00,-300.3758349237048
2016-09-01 03:37:00,-167.12887909583438
2016-09-01 03:38:00,-256.3296471307124
2016-09-01 03:39:00,-8.63268143588948
2016-09-01 03:40:00,0.0
2016-09-01 03:41:00,-114.6587750423872
2016-09-01 03:42:00,-141.55747330433263
2016-09-01 03:43:00,-267.0715944266093
2016-09-01 03:44:00,-230.38584061562318
2016-09-01 03:45:00,-169.81366530968572
2016-09-01 03:46:00,-360.2660893322364
2016-09-01 03:47:00,-181.5149284313214
2016-09-01 03:48:00,-303.6837310296983
2016-09-01 03:49:00,-163.63527130591228
2016-09-01 03:50:00,-155.19753494575338
2016-09-01 03:51:00,-158.5683114991131
2016-09-01 03:52:00,-34.6451258758883
2016-09-01 03:53:00,-266.30556352580106
2016-09-01 03:54:00,-204.1289238541441
2016-09-01 03:55:00,-59.88010335851733
2016-09-01 03:56:00,-15.792092654074581
2016-09-01 03:57:00,-545.4618339790836
2016-09-01 03:58:00,-269.37951938970485
2016-09-01 03:59:00,-72.26961262364652
2016-09-01 04:00:00,-88.65434102363844
2016-09-01 04:01:00,-153.14022270233897
2016-09-01 04:02:00,-63.27017374738652
2016-09-01 04:03:00,-142.18355231408515
2016-09-01 04:04:00,-4.980790986347586
2016-09-01 04:05:00,0.0
2016-09-01 04:06:00,0.0
2016-09-01 04:07:00,-74.45857416472305
2016-09-01 04:08:00,-132.11782596085615
2016-09-01 04:09:00,-68.16401974420282
2016-09-01 04:10:00,-145.03545906615327
2016-09-01 04:11:00,-53.46999951082754
2016-09-01 04:12:00,-19.890525582678727
2016-09-01 04:13:00,-198.45298230028217
2016-09-01 04:14:00,-192.9706572186189
2016-09-01 04:15:00,-118.18697944777081
2016-09-01 04:16:00,-40.090920089873975
2016-09-01 04:17:00,-131.96682559376484
2016-09-01 04:18:00,-280.42163728234266
2016-09-01 04:19:00,-331.6952813706305
2016-09-01 04:20:00,-378.96052552366234
2016-09-01 04:21:00,-227.39862980659407
2016-09-01 04:22:00,-316.88937730891536
2016-09-01 04:23:00,-291.6527037946238
2016-09-01 04:24:00,-54.70532647880096
2016-09-01 04:25:00,-139.5719910566105
